n_estimators,learning_rate,num_leaves,subsample,colsample_bytree,min_child_samples,objective,n_jobs,random_state,MSE,Sharpe_point,Sharpe_port_gross,Sharpe_port_net,AnnRet_net,AnnVol_net,MaxDD_net,Calmar_net,Turnover_mean,RankIC_mean,RankIC_IR,RankIC_t,RankIC_n,used_gpu
1500,0.05,31,0.8,0.8,20,regression,-1,42,0.8493054735487411,0.050921003881723846,0.42382006572238523,0.2446735160462063,0.02010809441725736,0.10302619209370857,-0.17466973727982826,0.11512065415798586,0.14640789210486085,0.0012928778298006817,0.002892103168299529,0.08501012454984512,864,1
2500,0.05,31,0.8,0.8,20,regression,-1,42,0.8493054735347583,0.050921003881723846,0.4202990663897643,0.24106703747619493,0.01972700507629055,0.10301098701990903,-0.17437583691909153,0.11312923524744808,0.14645708035713395,0.0009416237090637937,0.002106852533183305,0.06192856403507113,864,1
2000,0.03,63,0.8,0.8,20,regression,-1,42,0.8488092309185328,0.2527689370420168,0.290302144331281,0.1082751757989427,0.005873632363572856,0.10355039574158603,-0.1364101644609773,0.043058612140689255,0.14952226484027234,0.02023977768621805,0.045488335841695184,1.337078544726105,864,1
