ticker,trade_date,alpha,vol_pred,regime,y_ret_k
300086.SZ,2024-06-06,-0.024040267564718474,0.06256628030301015,1,0.033802817
300189.SZ,2024-06-06,-0.033477704518795975,0.06364309137296204,1,0.044444444
300236.SZ,2024-06-06,-0.0010349903349432166,0.05283123235094646,2,0.015792798
300086.SZ,2024-06-07,-0.012308901142014805,0.06297826469187484,0,-0.002724796
300189.SZ,2024-06-07,-0.015504657714009159,0.08303101529726072,0,0.0
300236.SZ,2024-06-07,-0.015601255156069992,0.051189409930654295,2,0.0789801
300086.SZ,2024-06-11,-0.003128607945460743,0.06275994081038444,1,0.030054645
300189.SZ,2024-06-11,0.00244850135883172,0.0841236956606891,1,0.021276596
300236.SZ,2024-06-11,0.0034575616730668653,0.050823777028927916,0,-0.014409222
300086.SZ,2024-06-12,-0.014947086369662728,0.06294697505612605,1,-0.021220159
300189.SZ,2024-06-12,0.0020818255816852553,0.0808668388397061,1,-0.03125
300236.SZ,2024-06-12,0.010089780226411537,0.07583941103949127,0,-0.005555556
300086.SZ,2024-06-13,-0.0003504544895044265,0.06466652631495749,1,0.0
300189.SZ,2024-06-13,0.0015701269871810592,0.0812885841311125,1,0.0
300236.SZ,2024-06-13,-0.005084718370480817,0.07059533886235661,0,-0.003822405
300086.SZ,2024-06-14,-0.013687633392209448,0.06294697505612605,1,-0.01897019
300189.SZ,2024-06-14,-0.011512428799195831,0.08293712318403212,1,-0.02688172
300236.SZ,2024-06-14,0.005659558235077703,0.06425876365257661,0,0.013282172
300086.SZ,2024-06-17,0.0027208893299006287,0.06334278655416441,1,0.013812155
300189.SZ,2024-06-17,0.005113926491834712,0.0810538730854477,1,0.016574586
300236.SZ,2024-06-17,0.0025646752729386354,0.06337204742559557,0,-0.016894844
300086.SZ,2024-06-18,-0.01266239768769468,0.06318168610179085,1,0.002724796
300189.SZ,2024-06-18,-0.011169991032554243,0.0810538730854477,1,-0.010869565
300236.SZ,2024-06-18,0.005834972645121585,0.06288658484028531,0,-0.00237037
300086.SZ,2024-06-19,0.0032055648563420465,0.05866515080459865,1,-0.032608696
300189.SZ,2024-06-19,0.004736796688676639,0.0810538730854477,1,-0.017362637
300236.SZ,2024-06-19,-0.012741889022938498,0.06244182905667964,0,-0.01989902
300086.SZ,2024-06-20,-0.010744719142853054,0.05904961024702905,1,0.008426966
300189.SZ,2024-06-20,-0.0011129343345845652,0.0810538730854477,1,0.023261015
300236.SZ,2024-06-20,0.0021166882854422512,0.06168320802153676,0,-0.003333333
300086.SZ,2024-06-21,-0.025380421834425952,0.060709501355556625,1,-0.033871866
300189.SZ,2024-06-21,-0.011461395434087902,0.08293712318403212,1,-0.02273224
300236.SZ,2024-06-21,0.0015255946229945992,0.06535731013726137,0,-0.044086348
300086.SZ,2024-06-24,-0.009014809170465385,0.059025411163084004,1,0.0
300189.SZ,2024-06-24,-0.007520850839517228,0.08057359476053418,1,0.0
300236.SZ,2024-06-24,0.017389981010516156,0.07048193815585463,0,-0.039440204
300086.SZ,2024-06-25,-0.023470722359982578,0.06386958481378716,1,0.035059393
300189.SZ,2024-06-25,-0.02176826703015044,0.08084665578710945,1,0.0
300236.SZ,2024-06-25,0.009087357164932152,0.06973554975015421,0,0.032781457
300086.SZ,2024-06-26,-0.009571364076958114,0.06225190623309418,1,-0.019498607
300189.SZ,2024-06-26,-0.011292306704066302,0.08117145507923597,1,0.023261015
300236.SZ,2024-06-26,0.006685970691704216,0.06604389094742583,0,-0.021481244
300086.SZ,2024-06-27,-0.014160321555140139,0.06656670275288604,1,-0.002840909
300189.SZ,2024-06-27,-0.009875923265195069,0.07953477739571843,1,-0.021857923
300236.SZ,2024-06-27,0.012902249818290404,0.07072579958222214,2,0.012778506
300086.SZ,2024-06-28,-0.017422098267241403,0.06515372504623977,1,0.014245014
300189.SZ,2024-06-28,-0.009181673680295956,0.07959001729638998,0,0.111731844
300236.SZ,2024-06-28,0.0035373542695148344,0.06498719844591638,2,0.018440634
300086.SZ,2024-07-01,-0.011459900039520781,0.0648247073693078,1,0.039325843
300189.SZ,2024-07-01,-0.014440486414678877,0.07959001729638998,1,0.120603015
300236.SZ,2024-07-01,0.0133684747969458,0.06586140906015375,2,-0.007306226
300086.SZ,2024-07-02,-0.00549223737079363,0.06284551799406174,1,0.021621622
300189.SZ,2024-07-02,0.005851008256786522,0.08944559152503603,0,-0.035874439
300236.SZ,2024-07-02,0.020261489394433382,0.06863849347199609,0,0.00608
300086.SZ,2024-07-03,-0.011627789714899016,0.0628137233684486,1,-0.052910053
300189.SZ,2024-07-03,-0.0002504323043097792,0.0951543057491808,0,0.009302326
300236.SZ,2024-07-03,0.004754087891789671,0.060910363987407,2,-0.026081425
300086.SZ,2024-07-04,-0.006866808366042677,0.06378285532151524,0,0.061452514
300189.SZ,2024-07-04,0.0012975432256696511,0.09754545661032529,0,-0.073732719
300236.SZ,2024-07-04,0.013886517516677525,0.06232242146884201,2,-0.002286088
