ticker,trade_date,y_ret_k,oof_modern_gb,oof_gbdt,oof_rf,oof_stack_modern,oof_stack_gbdt,oof_stack_modern_tuned,oof_vol_pred,oof_regime
300086.SZ,2024-06-06,0.033802817,-0.024040267564718474,-0.05318386549970398,-0.027692260318216286,-0.02586626394146738,-0.04043806290896013,-0.025014568875890777,0.06256628030301015,1.0
300189.SZ,2024-06-06,0.044444444,-0.033477704518795975,-0.07331665224517253,-0.0242920353615895,-0.028884869940192737,-0.048804343803381015,-0.028240055697583404,0.06364309137296204,1.0
300236.SZ,2024-06-06,0.015792798,-0.0010349903349432166,-0.0024241999549184288,-0.004929617498004074,-0.002982303916473645,-0.003676908726461251,-0.003430681772547216,0.05283123235094646,2.0
300086.SZ,2024-06-07,-0.002724796,-0.012308901142014805,-0.050358675978772964,-0.02171488241037178,-0.01701189177619329,-0.03603677919457237,-0.016523801795960334,0.06297826469187484,0.0
300189.SZ,2024-06-07,0.0,-0.015504657714009159,-0.06592220897193173,-0.011559382945935661,-0.01353202032997241,-0.03874079595893369,-0.012134535042513547,0.08303101529726072,0.0
300236.SZ,2024-06-07,0.0789801,-0.015601255156069992,-0.013549805967580078,-0.008597916896061904,-0.012099586026065947,-0.011073861431820991,-0.011648571737792395,0.051189409930654295,2.0
300086.SZ,2024-06-11,0.030054645,-0.003128607945460743,-0.03786824362123119,-0.008686175207310057,-0.0059073915763854,-0.02327720941427062,-0.006725626050516554,0.06275994081038444,1.0
300189.SZ,2024-06-11,0.021276596,0.00244850135883172,-0.04203752903042407,-0.005193001937162973,-0.0013722502891656265,-0.023615265483793522,-0.0005702722851442777,0.0841236956606891,1.0
300236.SZ,2024-06-11,-0.014409222,0.0034575616730668653,0.006558322812484649,-0.001158674558317064,0.0011494435573749006,0.0026998241270837927,0.0005396392316670922,0.050823777028927916,0.0
300086.SZ,2024-06-12,-0.021220159,-0.014947086369662728,-0.03616093605293224,-0.007676705488345858,-0.011311895929004293,-0.021918820770639048,-0.0118332655131698,0.06294697505612605,1.0
300189.SZ,2024-06-12,-0.03125,0.0020818255816852553,-0.03416407569832546,-0.003939016717991977,-0.0009285955681533607,-0.01905154620815872,-0.0005963991393688735,0.0808668388397061,1.0
300236.SZ,2024-06-12,-0.005555556,0.010089780226411537,0.017814009483889285,0.005084618064617671,0.007587199145514604,0.011449313774253478,0.006002754441175602,0.07583941103949127,0.0
300086.SZ,2024-06-13,0.0,-0.0003504544895044265,-0.025281146310481627,-0.0025295999319597867,-0.0014400272107321067,-0.013905373121220707,-0.0025197833130143938,0.06466652631495749,1.0
300189.SZ,2024-06-13,0.0,0.0015701269871810592,-0.02807130227674783,-0.001258718567497235,0.00015570420984191207,-0.014665010422122532,0.0005518389889118039,0.0812885841311125,1.0
300236.SZ,2024-06-13,-0.003822405,-0.005084718370480817,0.0012702414615252966,-0.0018764561758715234,-0.0034805872731761703,-0.0003031073571731134,-0.004400032271061598,0.07059533886235661,0.0
300086.SZ,2024-06-14,-0.01897019,-0.013687633392209448,-0.021960466467822664,-0.0022265712933627266,-0.007957102342786088,-0.012093518880592695,-0.009749352292808083,0.06294697505612605,1.0
300189.SZ,2024-06-14,-0.02688172,-0.011512428799195831,-0.046336131287477614,-0.008140721082897555,-0.009826574941046693,-0.027238426185187584,-0.00897506072739658,0.08293712318403212,1.0
300236.SZ,2024-06-14,0.013282172,0.005659558235077703,0.020014757787686306,0.00045334665242749493,0.003056452443752599,0.0102340522200569,0.0014883250854318753,0.06425876365257661,0.0
300086.SZ,2024-06-17,0.013812155,0.0027208893299006287,-0.0012335713987138993,-0.0011030690475387116,0.0008089101411809586,-0.0011683202231263054,-0.0003911420129372083,0.06334278655416441,1.0
300189.SZ,2024-06-17,0.016574586,0.005113926491834712,-0.03880429521588212,-0.007705661743816424,-0.001295867625990856,-0.023254978479849274,-0.00045708060932742696,0.0810538730854477,1.0
300236.SZ,2024-06-17,-0.016894844,0.0025646752729386354,0.017915977041165546,0.0007222269992976786,0.001643451136118157,0.009319102020231613,0.00020604652410951153,0.06337204742559557,0.0
300086.SZ,2024-06-18,0.002724796,-0.01266239768769468,-0.004948618202374194,-0.006071584654719027,-0.009366991171206852,-0.00551010142854661,-0.010727253389385134,0.06318168610179085,1.0
300189.SZ,2024-06-18,-0.010869565,-0.011169991032554243,-0.0483095006377229,-0.010329927226166625,-0.010749959129360434,-0.02931971393194476,-0.009881372313332738,0.0810538730854477,1.0
300236.SZ,2024-06-18,-0.00237037,0.005834972645121585,0.023955822735733278,0.0006422891996941971,0.003238630922407891,0.012299055967713737,0.0016636485467129679,0.06288658484028531,0.0
300086.SZ,2024-06-19,-0.032608696,0.0032055648563420465,-0.005152965213976314,-0.0018591305578819091,0.0006732171492300687,-0.0035060478859291113,-0.0002070990290440344,0.05866515080459865,1.0
300189.SZ,2024-06-19,-0.017362637,0.004736796688676639,-0.028032062296609418,-0.003996037148545379,0.00037037977006562986,-0.0160140497225774,0.001050779784340265,0.0810538730854477,1.0
300236.SZ,2024-06-19,-0.01989902,-0.012741889022938498,0.013859329017119176,-0.0019382914021587173,-0.007340090212548608,0.005960518807480229,-0.008472388008643325,0.06244182905667964,0.0
300086.SZ,2024-06-20,0.008426966,-0.010744719142853054,-0.0330443145728537,-0.007533856443467703,-0.009139287793160379,-0.020289085508160703,-0.009116630845231937,0.05904961024702905,1.0
300189.SZ,2024-06-20,0.023261015,-0.0011129343345845652,-0.03223380957499326,-0.008177363241140982,-0.004645148787862773,-0.02020558640806712,-0.00372349518132498,0.0810538730854477,1.0
300236.SZ,2024-06-20,-0.003333333,0.0021166882854422512,0.015429656265616657,0.0009021007177812551,0.0015093945016117533,0.008165878491698956,0.00044889184063257774,0.06168320802153676,0.0
300086.SZ,2024-06-21,-0.033871866,-0.025380421834425952,-0.02688548948256105,-0.010541290191916845,-0.0179608560131714,-0.01871338983723895,-0.018139015135216197,0.060709501355556625,1.0
300189.SZ,2024-06-21,-0.02273224,-0.011461395434087902,-0.03526598888384182,-0.009001185316659275,-0.010231290375373589,-0.022133587100250547,-0.00927733721032916,0.08293712318403212,1.0
300236.SZ,2024-06-21,-0.044086348,0.0015255946229945992,0.009185614928166042,-0.0007106174983809087,0.00040748856230684525,0.004237498714892567,-0.0002815372596729598,0.06535731013726137,0.0
300086.SZ,2024-06-24,0.0,-0.009014809170465385,-0.025516160699416396,-0.006416075838718174,-0.007715442504591779,-0.015966118269067284,-0.007903911509159662,0.059025411163084004,1.0
300189.SZ,2024-06-24,0.0,-0.007520850839517228,-0.03455843708101794,-0.009160266742566207,-0.008340558791041718,-0.02185935191179207,-0.00737147737100225,0.08057359476053418,1.0
300236.SZ,2024-06-24,-0.039440204,0.017389981010516156,0.014178690598214092,0.0030834327547949666,0.010236706882655561,0.008631061676504528,0.009303383497101277,0.07048193815585463,0.0
300086.SZ,2024-06-25,0.035059393,-0.023470722359982578,-0.030569586012111034,-0.010962444122186289,-0.017216583241084434,-0.02076601506714866,-0.01753326851940163,0.06386958481378716,1.0
300189.SZ,2024-06-25,0.0,-0.02176826703015044,-0.03803449783982409,-0.016584154689979272,-0.019176210860064855,-0.027309326264901682,-0.01765238338690883,0.08084665578710945,1.0
300236.SZ,2024-06-25,0.032781457,0.009087357164932152,0.004489867269430688,0.0010380356400651915,0.005062696402498672,0.0027639514547479396,0.004572165088780763,0.06973554975015421,0.0
300086.SZ,2024-06-26,-0.019498607,-0.009571364076958114,-0.029708278406554194,-0.008271972666406622,-0.008921668371682368,-0.01899012553648041,-0.009064981574604692,0.06225190623309418,1.0
300189.SZ,2024-06-26,0.023261015,-0.011292306704066302,-0.034696184287475035,-0.012374604059708545,-0.011833455381887424,-0.023535394173591788,-0.010446233644465642,0.08117145507923597,1.0
300236.SZ,2024-06-26,-0.021481244,0.006685970691704216,-0.002957541716871062,-0.00431489659158334,0.001185537050060438,-0.003636219154227201,0.0015848941259049994,0.06604389094742583,0.0
300086.SZ,2024-06-27,-0.002840909,-0.014160321555140139,-0.03807992718788148,-0.006912844669734167,-0.010536583112437152,-0.022496385928807823,-0.010100229208471905,0.06656670275288604,1.0
300189.SZ,2024-06-27,-0.021857923,-0.009875923265195069,-0.03007551388160903,-0.0023730282291036255,-0.0061244757471493475,-0.01622427105535633,-0.00538587214986941,0.07953477739571843,1.0
300236.SZ,2024-06-27,0.012778506,0.012902249818290404,0.00245564585312049,0.0038477702551307693,0.008375010036710586,0.00315170805412563,0.00909774260050586,0.07072579958222214,2.0
