trade_date,gross_ret,net_ret,turnover,n_positions,cap_hit_ratio
2023-04-21,6.421034250470026e-06,-0.00011857896574952998,0.25,1,1.0
2023-04-22,-0.004638776612188975,-0.004638776612188975,0.0,1,1.0
2023-04-23,-0.0030184838599138,-0.0030184838599138,0.0,1,1.0
2023-04-29,-0.0028778949852406,-0.0028778949852406,0.0,1,1.0
2023-04-30,-0.012538925557419974,-0.012538925557419974,0.0,1,1.0
2023-05-03,0.0052645914119467,0.0052645914119467,0.0,1,1.0
2023-05-04,-0.0087362706023957,-0.0088612706023957,0.25,1,1.0
2023-05-05,0.00086150555739415,0.00073650555739415,0.25,1,1.0
2023-05-06,0.00254680719253545,0.00254680719253545,0.0,1,1.0
2023-05-07,-0.0035207366642319,-0.0035207366642319,0.0,1,1.0
2023-05-10,-0.00077072291392135,-0.00089572291392135,0.25,1,1.0
2023-05-11,0.00203163961957855,0.0019066396195785498,0.25,1,1.0
2023-05-12,0.0019538066211358,0.0018288066211358,0.25,1,1.0
2023-05-13,-0.0053007643195235,-0.0053007643195235,0.0,1,1.0
2023-05-14,0.000599703329245475,0.000474703329245475,0.25,1,1.0
2023-05-17,-0.00292543133500745,-0.0030504313350074503,0.25,1,1.0
2023-05-18,-0.0060380050543601,-0.0060380050543601,0.0,1,1.0
2023-05-19,-0.000584341638904025,-0.000709341638904025,0.25,1,1.0
2023-05-20,-0.0009392447215427,-0.0009392447215427,0.0,1,1.0
2023-05-21,0.002482228751293875,0.002357228751293875,0.25,1,1.0
2023-05-24,-0.00052041625339375,-0.00052041625339375,0.0,1,1.0
2023-05-25,-0.00067197118848305,-0.00067197118848305,0.0,1,1.0
2023-05-26,-0.00288456995299775,-0.00288456995299775,0.0,1,1.0
2023-05-27,0.0030339257385416,0.0030339257385416,0.0,1,1.0
2023-05-28,0.002456592744822675,0.002456592744822675,0.0,1,1.0
2023-05-31,0.0022562028255498,0.0021312028255498,0.25,1,1.0
2023-06-01,-0.00364749567544175,-0.00364749567544175,0.0,1,1.0
2023-06-02,0.00366271385002675,0.00353771385002675,0.25,1,1.0
2023-06-03,7.22300858202e-05,-5.27699141798e-05,0.25,1,1.0
2023-06-04,0.005194027539753025,0.005194027539753025,0.0,1,1.0
2023-06-07,-0.0009281740866931,-0.0009281740866931,0.0,1,1.0
2023-06-08,0.00113451116500815,0.00113451116500815,0.0,1,1.0
2023-06-09,-0.0010563435838206,-0.0010563435838206,0.0,1,1.0
2023-06-10,0.000806704183275125,0.000806704183275125,0.0,1,1.0
2023-06-11,0.00247941561618395,0.00247941561618395,0.0,1,1.0
2023-06-14,0.0033211260765759,0.0033211260765759,0.0,1,1.0
2023-06-15,-0.000502158046769375,-0.000502158046769375,0.0,1,1.0
2023-06-16,-0.00456211986290265,-0.00468711986290265,0.25,1,1.0
2023-06-21,0.001123546009967,0.001123546009967,0.0,1,1.0
2023-06-22,0.000303083652040225,0.000303083652040225,0.0,1,1.0
2023-06-23,-0.000437170104640225,-0.000437170104640225,0.0,1,1.0
2023-06-24,0.0024121315481409,0.0024121315481409,0.0,1,1.0
2023-06-25,0.002189078360580275,0.002189078360580275,0.0,1,1.0
2023-06-28,-0.001797464220647725,-0.001797464220647725,0.0,1,1.0
2023-06-29,-0.000598266601273,-0.000598266601273,0.0,1,1.0
2023-06-30,-0.0014806837443957,-0.0014806837443957,0.0,1,1.0
2023-07-01,0.0001227305532726,0.0001227305532726,0.0,1,1.0
2023-07-02,-6.7091024611775e-05,-6.7091024611775e-05,0.0,1,1.0
2023-07-05,0.00200068263847545,0.00200068263847545,0.0,1,1.0
2023-07-06,-0.000498914881968275,-0.000498914881968275,0.0,1,1.0
