model,rows,mse,sharpe_point,sharpe_gross,sharpe_net,ann_ret_net,ann_vol_net,mdd_net,calmar_net,turnover_mean,n_positions_mean,cap_hit_ratio_mean,cost_bps,fold,te_start,te_end
fold_1,114,0.00014900851228118598,0.018295974941209152,0.018295974941209152,-0.14440635874754287,-0.007958091881521412,0.047555832341061206,-0.04071027693303664,-0.19548115318919318,0.06140350877192982,1.0,1.0,5.0,1,2023-04-21,2023-10-12
fold_2,114,0.00010937988968461646,0.17834996885812532,0.17834996885812532,0.08204088570056256,0.0025015088910653738,0.04024482723380372,-0.019561287015625206,0.12788058827965731,0.03070175438596491,1.0,1.0,5.0,2,2023-10-13,2024-03-29
fold_3,114,0.00018769467946164786,2.4316686595085524,2.4316686595085524,2.4263163254235,0.1385812738191443,0.054100815555498616,-0.023138898485469683,5.989104187745492,0.0021929824561403508,1.0,1.0,5.0,3,2024-04-03,2024-09-15
fold_4,114,0.0002996257625757171,1.8832822997823597,1.8832822997823597,1.8807358406100825,0.1353435412778723,0.06875330390278413,-0.03033157086483418,4.462134252162551,0.0021929824561403508,1.0,1.0,5.0,4,2024-09-18,2025-03-12
fold_5,114,0.000271885149697125,2.45168416278771,2.45168416278771,2.447407073946861,0.17126808874598343,0.06548335476336012,-0.025306139088409507,6.767847443959798,0.0021929824561403508,1.0,1.0,5.0,5,2025-03-13,2025-08-24
