ticker,trade_date,ticker_code,VaR_1pct
600000.SH,2024-04-25,600000,-0.023541272794754445
600000.SH,2024-05-01,600000,-0.023541272794754445
600000.SH,2024-05-02,600000,-0.023541272794754445
600000.SH,2024-05-03,600000,-0.023541272794754445
600000.SH,2024-05-04,600000,-0.023541272794754445
600000.SH,2024-05-05,600000,-0.023541272794754445
600000.SH,2024-05-08,600000,-0.023541272794754445
600000.SH,2024-05-09,600000,-0.023541272794754445
600000.SH,2024-05-10,600000,-0.023541272794754445
600000.SH,2024-05-11,600000,-0.023541272794754445
600000.SH,2024-05-12,600000,-0.023541272794754445
600000.SH,2024-05-15,600000,-0.023541272794754445
600000.SH,2024-05-16,600000,-0.023541272794754445
600000.SH,2024-05-17,600000,-0.023541272794754445
600000.SH,2024-05-18,600000,-0.023541272794754445
600000.SH,2024-05-19,600000,-0.023541272794754445
600000.SH,2024-05-22,600000,-0.023541272794754445
600000.SH,2024-05-23,600000,-0.023541272794754445
600000.SH,2024-05-24,600000,-0.023541272794754445
600000.SH,2024-05-25,600000,-0.023541272794754445
600000.SH,2024-05-26,600000,-0.02869060905801351
600000.SH,2024-05-29,600000,-0.02869060905801351
600000.SH,2024-05-30,600000,-0.02869060905801351
600000.SH,2024-05-31,600000,-0.02869060905801351
600000.SH,2024-06-01,600000,-0.02869060905801351
600000.SH,2024-06-02,600000,-0.02869060905801351
600000.SH,2024-06-06,600000,-0.02869060905801351
600000.SH,2024-06-07,600000,-0.02869060905801351
600000.SH,2024-06-08,600000,-0.02869060905801351
600000.SH,2024-06-09,600000,-0.02869060905801351
600000.SH,2024-06-12,600000,-0.02869060905801351
600000.SH,2024-06-13,600000,-0.02869060905801351
600000.SH,2024-06-14,600000,-0.02869060905801351
600000.SH,2024-06-15,600000,-0.02869060905801351
600000.SH,2024-06-16,600000,-0.02869060905801351
600000.SH,2024-06-19,600000,-0.02869060905801351
600000.SH,2024-06-20,600000,-0.02869060905801351
600000.SH,2024-06-21,600000,-0.02869060905801351
600000.SH,2024-06-22,600000,-0.02869060905801351
600000.SH,2024-06-23,600000,-0.02869060905801351
600000.SH,2024-06-26,600000,-0.023010303624573538
600000.SH,2024-06-27,600000,-0.023010303624573538
600000.SH,2024-06-28,600000,-0.023010303624573538
600000.SH,2024-06-29,600000,-0.023010303624573538
600000.SH,2024-06-30,600000,-0.023010303624573538
600000.SH,2024-07-03,600000,-0.023010303624573538
600000.SH,2024-07-04,600000,-0.023010303624573538
600000.SH,2024-07-05,600000,-0.023010303624573538
600000.SH,2024-07-06,600000,-0.023010303624573538
600000.SH,2024-07-07,600000,-0.023010303624573538
600000.SH,2024-07-10,600000,-0.023010303624573538
600000.SH,2024-07-11,600000,-0.023010303624573538
600000.SH,2024-07-12,600000,-0.023010303624573538
600000.SH,2024-07-13,600000,-0.023010303624573538
600000.SH,2024-07-14,600000,-0.023010303624573538
600000.SH,2024-07-17,600000,-0.023010303624573538
600000.SH,2024-07-18,600000,-0.023010303624573538
600000.SH,2024-07-19,600000,-0.023010303624573538
600000.SH,2024-07-20,600000,-0.023010303624573538
600000.SH,2024-07-21,600000,-0.023010303624573538
600000.SH,2024-07-24,600000,-0.03321124643257534
600000.SH,2024-07-25,600000,-0.03321124643257534
600000.SH,2024-07-26,600000,-0.03321124643257534
600000.SH,2024-07-27,600000,-0.03321124643257534
600000.SH,2024-07-28,600000,-0.03321124643257534
600000.SH,2024-07-31,600000,-0.03321124643257534
600000.SH,2024-08-01,600000,-0.03321124643257534
