trade_date,gross,net,turnover,lev_overlay,eq_gross,eq_net
2024-06-06,0.02527175536842105,0.02477175536842105,1.0,1.0,1.025271755368421,1.024771755368421
2024-06-07,0.027234037142857142,0.02709118,0.2857142857142857,1.0,1.053194044435647,1.0525340314520228
2024-06-11,0.011419974399999998,0.01138783154285714,0.06428571428571428,1.0,1.0652214934613347,1.0645201116953227
2024-06-12,-0.019148555323529413,-0.01916620238235294,0.035294117647058865,1.0,1.0448240407619775,1.0441173037944853
2024-06-13,-0.0011701239795918368,-0.0012112404261704682,0.08223289315726293,1.0,1.0436014670974278,1.0428526267064653
2024-06-14,-0.010377244985590778,-0.010403740309945304,0.05299064870905132,1.0,1.032771759006036,1.0320030587966669
2024-06-17,0.005644853229757086,0.00561622000570827,0.05726644809763268,1.0,1.038601604005463,1.0377990150214327
2024-06-18,-0.0038492757302762736,-0.0038766346554357204,0.05471785031889362,1.0,1.0346037400577388,1.0337758473944234
2024-06-19,-0.023475870763368715,-0.023503418515639155,0.05509550454087728,1.0,1.0103155163648454,1.0094785810017528
2024-06-20,0.009507818002225478,0.009480382358677545,0.05487128709586633,1.0,1.0199214124192668,1.0190488239325446
2024-06-21,-0.014905872046707597,-0.014913462323649995,0.03414864926415023,0.4445433190450735,1.0047185943480479,1.0038512776908668
2024-06-24,-0.0054267702992759955,-0.005430928222962503,0.02297840209282552,0.3618984183244194,0.9992662173211097,0.9983994334551984
2024-06-25,0.008225740377323055,0.008222482569553793,0.01628527727063518,0.40009239205728026,1.0074859217926229,1.0066087553942362
2024-06-26,-0.0013479555999098068,-0.001350315344914199,0.011970596684785756,0.39425687232304,1.0061278755025123,1.0052495161455024
2024-06-27,-0.0017204252089700665,-0.001722277858331382,0.009037056986528444,0.41001165845852994,1.0043969077420503,1.0035181971617466
2024-06-28,0.02343926067581329,0.023437781603427185,0.006960808205529828,0.42497145228918626,1.027939228684597,1.0270384375018886
2024-07-01,0.017052133894451937,0.017027975118464597,0.14186067088242604,0.34059864283827535,1.0454677860474866,1.0445268224613775
2024-07-02,-0.0013569350775190885,-0.0013645499137103793,0.049126509705188004,0.31000924905873206,1.0440491541361825,1.0431015134759196
2024-07-03,-0.006306232059440716,-0.006311192111536194,0.03118796657969486,0.3180747345488785,1.037465137888737,1.036518299432539
2024-07-04,-0.004633692921277935,-0.004637072519703735,0.021258287883641036,0.3179558433207992,1.0326578430232294,1.0317118889100705
2024-07-05,-0.014360585466647417,-0.014362989648670844,0.01520095947001572,0.3163197728630706,1.0178282718106906,1.0168934217292445
2024-07-08,0.004326323921372353,0.004324635558386334,0.011245683283074265,0.30026863526567593,1.0222317266108742,1.021291115179944
2024-07-09,-0.005460441033039015,-0.005479358319025781,0.12991861896711032,0.2912174734793574,1.0166498905456138,1.0156950952118355
2024-07-10,0.0160023901190669,0.015994749713536056,0.049872481082192416,0.3063976511716863,1.0329187187086315,1.031940884045015
2024-07-11,0.001082781570726358,0.001078402156122167,0.031577784170541634,0.2773731418606989,1.0340371440613074,1.0330537313193597
2024-07-12,-0.006306300659266744,-0.006318539586505766,0.08827280785567504,0.2772977893493947,1.0275161949380074,1.026526340423031
2024-07-15,-0.0012341872941438053,-0.0012394059004334633,0.038195987361449524,0.27325416359967053,1.0262480475056879,1.0252540576197602
2024-07-16,0.0011043513473395447,0.001093724723436921,0.0777403188549422,0.2733877107566856,1.0273813859196552,1.026375403330383
2024-07-17,0.0057114119895382755,0.005706365693614251,0.03692233931805067,0.2733464898069124,1.033249184285025,1.0322322767207168
2024-07-18,-0.0028357386002749187,-0.002846710880656749,0.07968948268194087,0.2753758717602284,1.0303191596894454,1.0292938098672109
2024-07-19,-9.720232556188024e-05,-0.0001045007844859146,0.05316351687601914,0.27456644529574153,1.0302190102710527,1.0291862478566134
2024-07-22,-0.007421351453426387,-0.007426134089110798,0.033278266288135766,0.2874329836176461,1.0225733929218301,1.0215433727773615
2024-07-23,-0.0042637702526009446,-0.004274642568100265,0.08233308102047862,0.26410563930229053,1.018213374907989,1.0171766399909266
2024-07-24,0.0005539026652958231,0.0005469725412440836,0.05151947267144541,0.2690293084300328,1.0187773660101904,1.0177330076825966
2024-07-25,0.0025776098890153832,0.002573022729011558,0.03243266825915517,0.28287281004272125,1.0214033766235233,1.020351657843429
2024-07-26,0.0010405520224367759,0.0010374465426337262,0.021985824763102735,0.28249836760833286,1.0224661999727926,1.0214102181431293
2024-07-29,0.008153284182527384,0.008150776923986707,0.015661529710730884,0.32018054264003626,1.0308026574681997,1.0297355049790946
2024-07-30,0.0074596089189034554,0.007457562478440745,0.011554555431077876,0.3542222762124736,1.0384920421654789,1.037414821843745
2024-07-31,-0.0006817466455929052,-0.0006832518993260376,0.00874691320646974,0.3441794145205345,1.0377840536992575,1.0367060061963311
2024-08-01,-0.00161046203695566,-0.0016116478284234365,0.006751419130247141,0.35127176817211553,1.0361127418782168,1.0350352012127313
2024-08-02,-0.009483263892448813,-0.009484203291787003,0.005289740136758536,0.3551778778928394,1.026287011324657,1.025218716950274
2024-08-05,0.016895304700761313,0.01689449217733396,0.004193313325290479,0.3875328955034852,1.0436264430914208,1.0425392665438469
2024-08-06,-0.007552384303612767,-0.0075529732683935055,0.003355099298156694,0.35108634850960707,1.035744575123782,1.0346649953323905
2024-08-07,0.02645648607014716,0.026429710631165903,0.1535897397896102,0.3486618183992626,1.0631467370477747,1.0620108917592224
2024-08-08,-0.004480349635434638,-0.0044876900604960395,0.04840677299960988,0.30328090911824546,1.0583834679520292,1.0572449160361361
