trade_date,ic,rankic,n,ic_rolling20,rankic_rolling20
2024-06-06,-0.9948631044315193,-1.0,3,,
2024-06-07,-0.9954297267842787,-0.5,3,,
2024-06-11,-0.8629379232035053,-1.0,3,,
2024-06-12,0.39972280088098844,0.5,3,,
2024-06-13,0.9651271249683048,0.8660254037844387,3,-0.297676165714002,-0.22679491924311224
2024-06-14,0.9058246307796574,0.5,3,-0.09709269963172544,-0.10566243270259355
2024-06-17,0.6429389312170947,1.0,3,0.008626104775248864,0.05228934339777696
2024-06-18,-0.06051802779902053,-0.5,3,-1.6911796534809995e-05,-0.01674682452694516
2024-06-19,-0.3476888419441223,0.5,3,-0.038647126257377866,0.04066948930938208
2024-06-20,-0.14598778000936816,-0.5,3,-0.04938119163257689,-0.01339745962155613
2024-06-21,-0.3382263254752683,-0.5,3,-0.07563984016373065,-0.05763405420141466
2024-06-24,-0.9904653017123792,-0.8660254037844387,3,-0.1518752952927847,-0.125
2024-06-25,0.27456627968752334,-0.5,3,-0.11907209721737641,-0.15384615384615385
2024-06-26,-0.48965395542238044,-0.5,3,-0.14554222994630525,-0.17857142857142858
2024-06-27,0.7000320443635284,0.5,3,-0.089170611658983,-0.13333333333333333
2024-06-28,0.006230556089012999,0.5,3,-0.08320803867473327,-0.09375
2024-07-01,-0.7849531308171972,-1.0,3,-0.12448716174193702,-0.14705882352941177
2024-07-02,-0.14815816359387962,-0.5,3,-0.12580221740037828,-0.16666666666666666
2024-07-03,0.6163527024932323,0.5,3,-0.08674143214281982,-0.13157894736842105
2024-07-04,-0.3308474465394854,-0.5,3,-0.0989467328626531,-0.15
2024-07-05,0.5680994189757772,0.5,3,-0.02079860669228828,-0.075
2024-07-08,0.9999434147894364,1.0,3,0.07897005038639747,0.0
2024-07-09,0.99991552355327,1.0,3,0.17211272272423622,0.1
2024-07-10,-0.5807934577143908,-0.5,3,0.12308690979446726,0.05
2024-07-11,-0.9995089329882657,-1.0,3,0.024855106896638744,-0.04330127018922193
2024-07-12,0.9999816721547515,1.0,3,0.029562958965393453,-0.01830127018922194
2024-07-15,-0.5894187248819346,-0.5,3,-0.032054923839558006,-0.09330127018922194
2024-07-16,-0.843927609589632,-0.5,3,-0.07122540292908859,-0.09330127018922194
2024-07-17,0.9759065633138573,1.0,3,-0.005045632666189598,-0.06830127018922194
2024-07-18,-0.8724651450023038,-1.0,3,-0.04136950091583638,-0.09330127018922194
2024-07-19,-0.08601868971990564,-0.5,3,-0.02875911912806825,-0.09330127018922194
2024-07-22,-0.7721494374474926,-1.0,3,-0.01784332591482392,-0.1
2024-07-23,0.31297466070038443,0.5,3,-0.015922906864180866,-0.05
2024-07-24,0.659539708865186,0.8660254037844387,3,0.04153677635019746,0.01830127018922193
2024-07-25,0.7605063861811825,0.5,3,0.044560493441080165,0.01830127018922193
2024-07-26,-0.5135779948210235,-0.5,3,0.018570065895578337,-0.03169872981077807
2024-07-29,0.998231170413916,1.0,3,0.107729280957134,0.06830127018922193
2024-07-30,-0.7554706662788989,-0.5,3,0.07736365582288303,0.06830127018922193
2024-07-31,-0.9739457389093059,-0.5,3,-0.002151266247243877,0.01830127018922193
2024-08-01,-0.9555016894891423,-1.0,3,-0.03338397839472672,-0.00669872981077807
2024-08-02,0.3279227907850224,0.5,3,-0.04539280980426445,-0.00669872981077807
2024-08-05,0.10871563483268758,0.5,3,-0.0899541988021019,-0.03169872981077807
2024-08-06,0.35577389132968007,0.5,3,-0.1221612804132814,-0.05669872981077807
2024-08-07,-0.7290080717921462,-1.0,3,-0.12957201111716915,-0.08169872981077807
2024-08-08,0.9070572477181951,0.5,3,-0.034243702081846114,-0.00669872981077807
2024-08-09,0.23478109278654025,0.5,3,-0.07250373105025669,-0.03169872981077807
2024-08-12,-0.7057478184777544,-1.0,3,-0.07832018573004768,-0.05669872981077807
2024-08-13,0.9941417866681844,0.5,3,0.013583284082843145,-0.00669872981077807
2024-08-14,0.9328414397704096,1.0,3,0.01143002790567076,-0.00669872981077807
2024-08-15,-0.9977320166484197,-1.0,3,0.005166684323364962,-0.00669872981077807
2024-08-16,0.9520098819146813,1.0,3,0.0570681129050943,0.06830127018922193
2024-08-19,-0.1276485028006866,-0.5,3,0.08929315963743462,0.09330127018922192
2024-08-20,-0.27187318220642853,-0.5,3,0.06005076749209396,0.04330127018922193
2024-08-21,-0.12800136395870487,-0.5,3,0.020673713850899417,-0.025000000000000005
2024-08-22,-0.8652848382514381,-1.0,3,-0.06061584737073161,-0.1
2024-08-23,0.9006742338957808,0.5,3,0.010096764065108604,-0.05
2024-08-26,-0.4184012881139622,-0.5,3,-0.0607348588612853,-0.125
2024-08-27,-0.836262928190993,-0.5,3,-0.06477447195689001,-0.125
2024-08-28,-0.9834103574498393,-1.0,3,-0.06524770288391668,-0.15
2024-08-29,-0.0769943499862872,-0.5,3,-0.021322335908773922,-0.125
2024-08-30,0.2037427740137907,0.5,3,-0.027531336747335506,-0.125
2024-09-02,0.928325911850881,1.0,3,0.013449177103574166,-0.1
2024-09-03,0.6742915047598194,0.5,3,0.029375057775081127,-0.1
2024-09-04,-0.9723693043727831,-0.5,3,0.01720699614604928,-0.075
2024-09-05,-0.9986128148494599,-1.0,3,-0.07807650698233345,-0.15
2024-09-06,0.839314626337234,1.0,3,-0.047849830304798766,-0.125
2024-09-09,-0.6783202277108996,-0.5,3,-0.046478450766456035,-0.1
2024-09-10,-0.09997023227964053,0.5,3,-0.10118405171384728,-0.1
2024-09-11,0.894130310087471,0.5,3,-0.10311960819799419,-0.125
