variant,ret_col,topk,sharpe_net,ann_ret_net,ann_vol_net,mdd_net,turnover_mean,ic_mean,rankic_mean,note
base_t_to_t1,y_ret_k,3,2.5010362181231596,0.39842897372994623,0.13791030035631702,-0.06211313202417801,0.04809435616368885,-0.0619176584691146,-0.07102393225657483,
lead1_t1_to_t2,y_ret_k_lead1,3,2.3219129213296767,0.3718432209791449,0.14042273672942787,-0.08125306344651695,0.047995652423361075,0.00345564409499017,-0.015684559903166948,
lag1_tminus1_to_t,y_ret_k_lag1,3,2.1178390445044664,0.33959043923369503,0.14287067715431362,-0.06779176943676701,0.04809435616368885,-0.06627708056068936,-0.0663094010767585,
