topk,sharpe_net,ann_ret_net,ann_vol_net,mdd_net,calmar_net,turnover_mean
1,0.8603008543835146,0.0773024564818936,0.0913448849454532,-0.059434567603468214,1.3006312588599154,0.029297514358046242
2,1.9176629081349068,0.27602133737054646,0.1316042156262517,-0.05709341343053409,4.834556576414604,0.031630847691379575
3,2.5010362181231596,0.39842897372994623,0.13791030035631702,-0.06211313202417801,6.414569041130541,0.04809435616368885
5,,0.0,0.0,0.0,,0.0
10,,0.0,0.0,0.0,,0.0
