cap_weight,pos_alpha,max_to,rebalance_every,gamma,topk,sharpe_net,ann_ret_net,mdd_net,turnover_mean
0.15,0.4,0.1,5,1.0,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.15,0.4,0.1,5,1.5,3,2.5577183794099443,0.41958830274114534,-0.05779753531906795,0.003555555555555556
0.35,0.25,0.1,5,1.0,3,2.5573113648379002,0.4152793708933906,-0.06341911963528091,0.014011276635010983
0.15,0.25,0.5,5,0.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.3,5,1.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.5,5,1.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.5,5,1.0,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.3,5,0.5,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.15,0.25,0.3,5,1.0,3,2.5566980452573547,0.4193223426016355,-0.058090523725893406,0.0035555555555555553
0.35,0.25,0.3,5,1.0,3,2.5557256699605695,0.41492237472922455,-0.06315934150059321,0.013986669906835695
0.35,0.25,0.5,5,1.0,3,2.5557256699605695,0.41492237472922455,-0.06315934150059321,0.013986669906835695
0.35,0.4,0.3,5,0.5,3,2.55530773809013,0.41486838940422843,-0.06234506367564574,0.02110174413248537
0.35,0.4,0.5,5,0.5,3,2.55530773809013,0.41486838940422843,-0.06234506367564574,0.02110174413248537
0.35,0.6,0.5,5,1.0,3,2.555244200755263,0.4161407083174995,-0.06173281789512619,0.034027372281694945
0.35,0.6,0.5,5,1.5,1,2.5537983265816777,0.40254901053229464,-0.048154279428510804,0.04036839348748802
0.25,0.25,0.1,5,1.0,3,2.553452146369562,0.4179300765161229,-0.059374532172510874,0.003555555555555556
0.25,0.25,0.1,5,0.5,3,2.553452146369562,0.4179300765161229,-0.059374532172510874,0.003555555555555556
0.25,0.25,0.1,5,1.5,3,2.553452146369562,0.4179300765161229,-0.059374532172510874,0.003555555555555556
0.35,0.25,0.1,5,0.5,3,2.551219654817804,0.4141758822230086,-0.06341911963528091,0.013649694764919808
0.35,0.6,0.3,5,1.0,3,2.550872400691477,0.41525291914970874,-0.06173281789512619,0.03397754097979579
0.35,0.25,0.3,5,0.5,3,2.5500764369095394,0.4139192652608974,-0.06315934150059321,0.013619047233593029
0.35,0.25,0.5,5,0.5,3,2.5500764369095394,0.4139192652608974,-0.06315934150059321,0.013619047233593029
0.25,0.25,0.3,5,1.0,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.5,5,1.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.5,5,0.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.3,5,1.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.5,5,1.0,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.3,5,0.5,3,2.549917972834939,0.4171450932182321,-0.060117904560737845,0.0035555555555555553
0.25,0.25,0.1,1,0.5,3,2.5345406421149344,0.4144027733154241,-0.06184677992593779,0.003555555555555556
0.25,0.25,0.1,1,1.0,3,2.5345406421149344,0.4144027733154241,-0.06184677992593779,0.003555555555555556
0.25,0.25,0.1,1,1.5,3,2.5345406421149344,0.4144027733154241,-0.06184677992593779,0.003555555555555556
0.15,0.6,0.3,5,1.0,3,2.5343118722547557,0.41556960413516175,-0.0569098487680707,0.009286761449687961
0.15,0.6,0.5,5,1.0,3,2.5343118722547557,0.41556960413516175,-0.0569098487680707,0.009286761449687961
0.15,0.6,0.1,5,1.0,3,2.5311764421762577,0.41463360489764733,-0.05779753531906795,0.009232580366427596
0.25,0.6,0.1,5,1.0,3,2.5304064310156815,0.41330596194994706,-0.059374532172510874,0.007291483980655178
0.25,0.25,0.3,1,0.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.5,1,0.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.3,1,1.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.5,1,1.5,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.5,1,1.0,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.25,0.25,0.3,1,1.0,3,2.530302871344103,0.41308735478662983,-0.062082020782448843,0.0035555555555555553
0.35,0.25,0.1,5,1.5,3,2.5300252846223916,0.4091321645741426,-0.06341911963528091,0.013933085867338024
0.25,0.6,0.1,5,0.5,3,2.5290609948536362,0.41257978646771565,-0.059374532172510874,0.007693515009060879
