model,rows,mse,sharpe_point,sharpe_net,ann_ret_net,ann_vol_net,mdd_net,calmar_net,turnover_mean,topk_holdings
alpha_modernGB(LightGBM::LGBMRegressor)[topk=3],1125,0.0018699101540166955,-0.4826793234033802,2.5010362181231596,0.39842897372994623,0.13791030035631702,-0.06211313202417801,6.414569041130541,0.04809435616368885,3
stack_GBDT+RF->Ridge[topk=3],1125,0.0017055127482884993,0.16473765693083733,2.389769907055444,0.38160812802536337,0.13934705294905186,-0.06348118886339027,6.011357614089007,0.03456724223471305,3
alpha_GBDT(sklearn)[topk=3],1125,0.00203838275096523,-0.11457886857829022,2.3623156743742975,0.37648520545025854,0.13939171934862465,-0.06379482486491339,5.9015007290555666,0.04733483726687465,3
stack_modernGB+RF->Ridge[TUNED][topk=3],1125,0.001688511875534446,0.04545690785404167,2.3432478583638376,0.3578040196156018,0.1343955021219773,-0.06448852877110023,5.548335904601183,0.030459047763924753,3
alpha_RF[topk=3],1125,0.0017470008853246908,-0.42999468721051254,2.3310875611515005,0.3860563633855669,0.14453784823867216,-0.059327704268501535,6.507185271123549,0.047334216375187234,3
stack_modernGB+RF->Ridge[topk=3],1125,0.0016901422752139247,-0.011954088420996555,2.294691002545037,0.3589489819359737,0.13780672561327453,-0.06375481140424111,5.630147341508654,0.029822367223535907,3
stack_GBDT+RF->Ridge[topk=2],1125,0.0017055127482884993,0.16473765693083733,2.085725270455895,0.32582116466139777,0.13988675613975082,-0.06888963799306302,4.729610637440234,0.02585156350872143,2
alpha_modernGB(LightGBM::LGBMRegressor)[topk=2],1125,0.0018699101540166955,-0.4826793234033802,1.9176629081349068,0.27602133737054646,0.1316042156262517,-0.05709341343053409,4.834556576414604,0.031630847691379575,2
stack_modernGB+RF->Ridge[TUNED][topk=2],1125,0.001688511875534446,0.04545690785404167,1.8948957922662106,0.24219717440542543,0.1181341240777342,-0.053309151093383744,4.543257010061163,0.019666032971146472,2
alpha_RF[topk=2],1125,0.0017470008853246908,-0.42999468721051254,1.8674842532884364,0.3001936968485379,0.14626349349818143,-0.06799143528266016,4.415169287139556,0.03119034754640102,2
alpha_GBDT(sklearn)[topk=2],1125,0.00203838275096523,-0.11457886857829022,1.809136587411542,0.28966652195335896,0.14647300584708714,-0.06901502024674455,4.197151879659451,0.033408329756502896,2
stack_GBDT+RF->Ridge[topk=1],1125,0.0017055127482884993,0.16473765693083733,1.7525967288057287,0.24725067130179768,0.13095006937482384,-0.0967868103196382,2.55459055304388,0.023518230175388097,1
stack_modernGB+RF->Ridge[topk=2],1125,0.0016901422752139247,-0.011954088420996555,1.712985704092035,0.24053021757056814,0.13079574880599687,-0.07148161975357226,3.3649239958436694,0.016907821949703052,2
stack_modernGB+RF->Ridge[TUNED][topk=1],1125,0.001688511875534446,0.04545690785404167,1.3687178923592507,0.18478822164666808,0.13004970600617366,-0.0925765318316033,1.9960590226343522,0.01733269963781314,1
stack_modernGB+RF->Ridge[topk=1],1125,0.0016901422752139247,-0.011954088420996555,1.336059685642458,0.17976963474947216,0.1300361757817343,-0.10584447189288215,1.6984319684773386,0.014574488616369716,1
alpha_modernGB(LightGBM::LGBMRegressor)[topk=1],1125,0.0018699101540166955,-0.4826793234033802,0.8603008543835146,0.0773024564818936,0.0913448849454532,-0.059434567603468214,1.3006312588599154,0.029297514358046242,1
alpha_GBDT(sklearn)[topk=1],1125,0.00203838275096523,-0.11457886857829022,0.7848292835540914,0.10191672145834407,0.13525600591649242,-0.097899263993527,1.041036646251832,0.031074996423169566,1
alpha_RF[topk=1],1125,0.0017470008853246908,-0.42999468721051254,0.6201109870543532,0.07873867209087293,0.13727541823243436,-0.10919115524204781,0.7211085175931163,0.028857014213067685,1
