variant,topk,use_integration,use_overlay,sharpe_net,ann_ret_net,ann_vol_net,mdd_net,calmar_net,turnover_mean,ic_mean,ic_ir,rankic_mean,rankic_ir,days
alpha_only,3,False,False,1.7895209512935404,1.0946694692685264,0.4753640088135255,-0.22897209430312548,4.780798606049104,0.0471085660593832,-0.05727560689392614,-1.256441398253868,-0.0736905989232415,-1.6349519999168027,375
alpha_only_overlay,3,False,True,2.462711892715856,0.3938514158868993,0.13877281514845657,-0.06211313202417801,6.340871938861329,0.0471085660593832,-0.05727560689392614,-1.256441398253868,-0.0736905989232415,-1.6349519999168027,375
risk_adjusted,3,True,False,1.807550227129861,1.1202929692535846,0.47808224841266805,-0.2405199947698914,4.657795582963418,0.04809435616368885,-0.0619176584691146,-1.3610475961726844,-0.07102393225657483,-1.5813943697271267,375
risk_adjusted_overlay,3,True,True,2.5010362181231596,0.39842897372994623,0.13791030035631702,-0.06211313202417801,6.414569041130541,0.04809435616368885,-0.0619176584691146,-1.3610475961726844,-0.07102393225657483,-1.5813943697271267,375
