period,start,end,n_days,sharpe_net,ann_ret_net,ann_vol_net,mdd_net,calmar_net
full,2024-06-06,2025-12-18,375,2.5010362181231596,0.39842897372994623,0.13791030035631702,-0.06211313202417801,6.414569041130541
last_3y,2024-06-06,2025-12-18,375,2.5010362181231596,0.39842897372994623,0.13791030035631702,-0.06211313202417801,6.414569041130541
last_2y,2024-06-06,2025-12-18,375,2.5010362181231596,0.39842897372994623,0.13791030035631702,-0.06211313202417801,6.414569041130541
last_1y,2024-12-18,2025-12-18,244,2.532173032251953,0.36998937783354924,0.12753740424632348,-0.041735853593867556,8.865024816167017
last_6m,2025-06-18,2025-12-18,126,3.0063413123423945,0.6261996681309738,0.16636808783477353,-0.041735853593867,15.003878301484951
