ticker,trade_date,ret_1_L1_z60,ret_5_L1_z60,ret_20_L1_z60,vol_10_L1_z60,vol_20_L1_z60,sma_5_L1_z60,sma_10_L1_z60,sma_20_L1_z60,ema_12_L1_z60,ema_26_L1_z60,ma_gap_5_20_L1_z60,ema_gap_12_26_L1_z60,macd_L1_z60,macd_signal_L1_z60,macd_hist_L1_z60,rsi_L1_z60,kdj_k_L1_z60,kdj_d_L1_z60,atr_L1_z60,pdi_L1_z60,mdi_L1_z60,adx_L1_z60,bb_mid_L1_z60,bb_up_L1_z60,bb_dn_L1_z60,bb_bw_L1_z60,bb_pb_L1_z60,obv_L1_z60,vpt_L1_z60,mfi_L1_z60,cci_L1_z60,vwap_win_L1_z60,z_close_20_L1_z60,z_turnover_20_L1_z60,range_hl_L1_z60,gap_oc_L1_z60,log_turn_L1_z60,rv_20_L1_z60,ret_1_L1_z120,ret_5_L1_z120,ret_20_L1_z120,vol_10_L1_z120,vol_20_L1_z120,sma_5_L1_z120,sma_10_L1_z120,sma_20_L1_z120,ema_12_L1_z120,ema_26_L1_z120,ma_gap_5_20_L1_z120,ema_gap_12_26_L1_z120,macd_L1_z120,macd_signal_L1_z120,macd_hist_L1_z120,rsi_L1_z120,kdj_k_L1_z120,kdj_d_L1_z120,atr_L1_z120,pdi_L1_z120,mdi_L1_z120,adx_L1_z120,bb_mid_L1_z120,bb_up_L1_z120,bb_dn_L1_z120,bb_bw_L1_z120,bb_pb_L1_z120,obv_L1_z120,vpt_L1_z120,mfi_L1_z120,cci_L1_z120,vwap_win_L1_z120,z_close_20_L1_z120,z_turnover_20_L1_z120,range_hl_L1_z120,gap_oc_L1_z120,log_turn_L1_z120,rv_20_L1_z120,y_ret_k,y_up_k,y_vol_k
300086.SZ,2024/2/28,1.023654523,1.447285911,2.209022872,-0.16340446,1.528324183,-0.830542431,-1.442504493,-1.793650514,-1.322977271,-1.63234465,1.908799316,0.251703005,0.566779781,-1.029513848,2.534768578,2.386241277,2.604833289,2.929214987,0.827616735,0.941905979,-1.326754872,-1.60251042,-1.793650514,-1.750676582,-1.53559741,0.975473282,2.141575576,2.191801324,-0.052164788,1.864118171,1.650268138,-0.956469128,2.141575576,0.175896643,0.051566692,0.132351149,0.458126851,-0.936159526,1.023654523,1.447285911,2.209022872,-0.16340446,1.528324183,-0.830542431,-1.442504493,-1.793650514,-1.322977271,-1.63234465,1.908799316,0.251703005,0.566779781,-1.029513848,2.534768578,2.386241277,2.604833289,2.929214987,0.827616735,0.941905979,-1.326754872,-1.60251042,-1.793650514,-1.750676582,-1.53559741,0.975473282,2.141575576,2.191801324,-0.052164788,1.864118171,1.650268138,-0.956469128,2.141575576,0.175896643,0.051566692,0.132351149,0.458126851,-0.936159526,0.038379531,1,0.242820031
300086.SZ,2024/2/29,-1.975240193,0.281054812,0.90996632,0.499362063,1.644272472,-0.81134332,-1.306770638,-1.741888821,-1.30717844,-1.605708611,1.907263486,0.308904559,0.632955333,-0.728387817,2.072608794,1.078081833,1.96319075,2.666735691,1.076169083,0.355237097,-1.075309053,-1.91917529,-1.741888821,-1.731999432,-1.489494137,0.935136111,1.092977302,1.239331928,-1.278570525,1.611942652,1.315001959,-0.824306518,1.092977302,0.69775152,1.72568455,-0.60215049,1.370624795,-0.948393379,-1.975240193,0.281054812,0.90996632,0.499362063,1.644272472,-0.81134332,-1.306770638,-1.741888821,-1.30717844,-1.605708611,1.907263486,0.308904559,0.632955333,-0.728387817,2.072608794,1.078081833,1.96319075,2.666735691,1.076169083,0.355237097,-1.075309053,-1.91917529,-1.741888821,-1.731999432,-1.489494137,0.935136111,1.092977302,1.239331928,-1.278570525,1.611942652,1.315001959,-0.824306518,1.092977302,0.69775152,1.72568455,-0.60215049,1.370624795,-0.948393379,0.034907598,1,0.245216139
300086.SZ,2024/3/1,1.105742288,0.539785112,1.192793502,0.472227608,1.612523558,-0.75871443,-1.140391796,-1.687962488,-1.239893401,-1.553204606,1.97612904,0.549817984,0.890010591,-0.434258302,1.949552844,1.612313645,1.590370052,2.356044085,1.013118597,0.089696471,-1.031418074,-2.071584323,-1.687962488,-1.719154848,-1.433389856,0.871682304,1.551098442,1.68925452,-0.903105762,1.531040548,1.160120126,-0.79910156,1.551098442,-0.065955789,0.129516945,-1.066307966,0.089433047,-0.950653792,1.105742288,0.539785112,1.192793502,0.472227608,1.612523558,-0.75871443,-1.140391796,-1.687962488,-1.239893401,-1.553204606,1.97612904,0.549817984,0.890010591,-0.434258302,1.949552844,1.612313645,1.590370052,2.356044085,1.013118597,0.089696471,-1.031418074,-2.071584323,-1.687962488,-1.719154848,-1.433389856,0.871682304,1.551098442,1.68925452,-0.903105762,1.531040548,1.160120126,-0.79910156,1.551098442,-0.065955789,0.129516945,-1.066307966,0.089433047,-0.950653792,0.049603175,1,0.245432764
300086.SZ,2024/3/4,0.991617555,0.759849308,1.183583041,0.14125199,1.554062728,-0.676452024,-1.01431059,-1.640727317,-1.135081829,-1.481123044,2.113661234,0.916496693,1.27004608,-0.113692709,1.989765902,2.006778748,1.64415563,2.182613539,0.901534603,0.639875066,-1.263056096,-2.194486755,-1.640727317,-1.734474494,-1.367233958,0.769358468,1.955360915,2.111613091,-0.541418856,2.029326233,1.567270294,-0.725060715,1.955360915,0.033541076,-0.198595591,0.556531325,0.358018408,-0.954517634,0.991617555,0.759849308,1.183583041,0.14125199,1.554062728,-0.676452024,-1.01431059,-1.640727317,-1.135081829,-1.481123044,2.113661234,0.916496693,1.27004608,-0.113692709,1.989765902,2.006778748,1.64415563,2.182613539,0.901534603,0.639875066,-1.263056096,-2.194486755,-1.640727317,-1.734474494,-1.367233958,0.769358468,1.955360915,2.111613091,-0.541418856,2.029326233,1.567270294,-0.725060715,1.955360915,0.033541076,-0.198595591,0.556531325,0.358018408,-0.954517634,-0.064272212,0,0.236413764
300086.SZ,2024/3/5,1.339179577,1.165469402,0.6966073,0.235872928,1.368695285,-0.536204879,-0.866025663,-1.616533637,-0.977733014,-1.381051462,2.409337833,1.430173956,1.787757043,0.268928698,2.177463387,2.452311093,1.743486173,2.107495125,1.030056964,1.618093783,-1.669610684,-1.939459181,-1.616533637,-1.92591248,-1.224553741,0.417752215,2.650288502,3.200744792,0.915742627,2.649879088,2.030207402,-0.47437001,2.650288502,2.899804017,0.851268526,0.163789656,2.618951124,-0.985912667,1.339179577,1.165469402,0.6966073,0.235872928,1.368695285,-0.536204879,-0.866025663,-1.616533637,-0.977733014,-1.381051462,2.409337833,1.430173956,1.787757043,0.268928698,2.177463387,2.452311093,1.743486173,2.107495125,1.030056964,1.618093783,-1.669610684,-1.939459181,-1.616533637,-1.92591248,-1.224553741,0.417752215,2.650288502,3.200744792,0.915742627,2.649879088,2.030207402,-0.47437001,2.650288502,2.899804017,0.851268526,0.163789656,2.618951124,-0.985912667,-0.008080808,0,0.222997425
300086.SZ,2024/3/6,-1.588693063,-0.149316175,1.188201005,0.622899135,1.180187892,-0.578730099,-0.797848525,-1.576242349,-0.942280601,-1.342123809,2.183795862,1.492910532,1.823324326,0.599324225,1.830272983,1.468996608,1.233721152,1.861837185,1.077671492,1.126019573,-1.678225439,-1.803762423,-1.576242349,-1.90930309,-1.175056745,0.329620802,1.667044441,2.128651635,-0.365338259,2.100197095,1.543224626,-0.478211949,1.667044441,1.680238334,-0.136312061,-3.096874928,1.62174052,-0.98670367,-1.588693063,-0.149316175,1.188201005,0.622899135,1.180187892,-0.578730099,-0.797848525,-1.576242349,-0.942280601,-1.342123809,2.183795862,1.492910532,1.823324326,0.599324225,1.830272983,1.468996608,1.233721152,1.861837185,1.077671492,1.126019573,-1.678225439,-1.803762423,-1.576242349,-1.90930309,-1.175056745,0.329620802,1.667044441,2.128651635,-0.365338259,2.100197095,1.543224626,-0.478211949,1.667044441,1.680238334,-0.136312061,-3.096874928,1.62174052,-0.98670367,-0.014256619,0,0.215548653
300086.SZ,2024/3/7,-0.137275709,0.80078871,1.838946907,0.627316838,1.060298351,-0.492279737,-0.744061786,-1.518951809,-0.92217664,-1.312117782,2.228148466,1.500107143,1.802820003,0.870854179,1.512647636,1.329849654,0.835353897,1.556080997,0.934084275,0.87496018,-1.275567257,-1.831286166,-1.518951809,-1.815260578,-1.147407818,0.332083107,1.49246717,1.637870058,-0.437176649,1.657885567,1.316561828,-0.481357477,1.49246717,-0.125005884,-0.297528545,0.383832497,0.048547875,-0.95930017,-0.137275709,0.80078871,1.838946907,0.627316838,1.060298351,-0.492279737,-0.744061786,-1.518951809,-0.92217664,-1.312117782,2.228148466,1.500107143,1.802820003,0.870854179,1.512647636,1.329849654,0.835353897,1.556080997,0.934084275,0.87496018,-1.275567257,-1.831286166,-1.518951809,-1.815260578,-1.147407818,0.332083107,1.49246717,1.637870058,-0.437176649,1.657885567,1.316561828,-0.481357477,1.49246717,-0.125005884,-0.297528545,0.383832497,0.048547875,-0.95930017,0.010330579,1,0.213438732
300086.SZ,2024/3/8,-0.295089839,0.109818632,2.012551041,0.629289426,1.009486376,-0.497060945,-0.718391462,-1.459597139,-0.923177431,-1.294082302,2.055191109,1.441521275,1.718743055,1.074899305,1.192193117,1.125637548,0.453578886,1.217660706,0.715877649,0.723101292,-1.363975375,-1.847575276,-1.459597139,-1.721659743,-1.117342503,0.336579668,1.240509686,1.259639274,-0.543427041,1.287569754,1.24975235,-0.441433169,1.240509686,-0.359662092,-0.747611936,0.379396069,-0.338289274,-0.923920934,-0.295089839,0.109818632,2.012551041,0.629289426,1.009486376,-0.497060945,-0.718391462,-1.459597139,-0.923177431,-1.294082302,2.055191109,1.441521275,1.718743055,1.074899305,1.192193117,1.125637548,0.453578886,1.217660706,0.715877649,0.723101292,-1.363975375,-1.847575276,-1.459597139,-1.721659743,-1.117342503,0.336579668,1.240509686,1.259639274,-0.543427041,1.287569754,1.24975235,-0.441433169,1.240509686,-0.359662092,-0.747611936,0.379396069,-0.338289274,-0.923920934,0.018404908,1,0.213675508
300086.SZ,2024/3/11,0.34818453,-0.198121482,2.076498973,0.6115071,0.990776246,-0.545587117,-0.698868166,-1.40045997,-0.907641774,-1.269317881,1.805535786,1.440270573,1.696326076,1.236083838,1.006021924,1.237937568,0.283931875,0.933556683,0.493661083,0.595209368,-1.334410792,-1.879075131,-1.40045997,-1.628291152,-1.088174105,0.347734325,1.315537006,1.415636626,-0.489073176,1.03924511,1.218776555,-0.428654618,1.315537006,-0.834583766,-0.859072925,0.375110401,-1.419203923,-0.88383687,0.34818453,-0.198121482,2.076498973,0.6115071,0.990776246,-0.545587117,-0.698868166,-1.40045997,-0.907641774,-1.269317881,1.805535786,1.440270573,1.696326076,1.236083838,1.006021924,1.237937568,0.283931875,0.933556683,0.493661083,0.595209368,-1.334410792,-1.879075131,-1.40045997,-1.628291152,-1.088174105,0.347734325,1.315537006,1.415636626,-0.489073176,1.03924511,1.218776555,-0.428654618,1.315537006,-0.834583766,-0.859072925,0.375110401,-1.419203923,-0.88383687,0.02811245,1,0.20954597
300086.SZ,2024/3/12,0.555532272,-0.573156556,2.755840543,0.607193031,0.903064687,-0.652099723,-0.678156053,-1.320880014,-0.867277927,-1.233126447,1.402906092,1.513270805,1.749524833,1.379667445,0.949550817,1.452800949,0.325073342,0.760657084,0.311109072,0.723407889,-1.425267436,-1.836625266,-1.320880014,-1.520329874,-1.037537084,0.340694354,1.451006543,1.642400131,-0.358258108,1.002141475,1.325646475,-0.677059624,1.451006543,-0.437986157,-0.741418453,0.911679744,-0.610551151,-0.813075424,0.555532272,-0.573156556,2.755840543,0.607193031,0.903064687,-0.652099723,-0.678156053,-1.320880014,-0.867277927,-1.233126447,1.402906092,1.513270805,1.749524833,1.379667445,0.949550817,1.452800949,0.325073342,0.760657084,0.311109072,0.723407889,-1.425267436,-1.836625266,-1.320880014,-1.520329874,-1.037537084,0.340694354,1.451006543,1.642400131,-0.358258108,1.002141475,1.325646475,-0.677059624,1.451006543,-0.437986157,-0.741418453,0.911679744,-0.610551151,-0.813075424,-0.0078125,0,0.172044792
