ret_1_L1_z120,range_hl_L1_z120,macd_signal_L1_z120,y_ret_k
-0.3143082092403802,0.1277067743187716,-1.8101532066291488,0.0016799115861489
-0.6669146590381915,0.126115425341331,-1.717241515277514,-0.0006832436774923
2.403481836770979,0.1205046525269178,-1.6373810574467946,-0.0009945300450172
0.4971244517284784,0.1207566201523263,-1.5677755486070055,0.0
-0.1779293020518323,-0.9919308138850582,-1.506401374725396,0.0
0.162154271949612,-0.4751091824577011,-1.4517531482212718,0.0266858645571286
-0.0112758696255627,0.1574760438426677,-1.4026847009629082,0.0118388410300904
2.692775168555144,1.7227071128463929,-1.3450645477834795,0.0094009569177118
1.4632587338384286,1.2791442511077935,-1.062089563677679,-0.0093525188343878
0.5132184105343492,0.3218168798276968,-0.7302013449166709,-0.0043509345983036
-0.4089761969854477,-1.497624637991842,-0.3911483817593056,-0.0110790732109187
-0.7129085513835055,-0.7753409814348934,-0.0822412059357144,-0.0050907990300893
-1.0154069199350904,0.2277052467722611,0.1623834693475522,0.0230135152803174
-0.3837080246278302,-0.3739502292293822,0.3412618950305906,0.0014152897396675
2.2338762554807547,1.2268971387687122,0.536373812060149,-0.0026024099560405
0.5041091474302902,1.0270435015171513,0.7448877428460055,0.0257094287837078
-0.2576077845600952,1.270446638438648,0.9387516041379964,-0.0188999588236404
2.098465219667186,1.0258447049601689,1.1744992499396232,0.0376754680466888
-1.4089188475140797,0.5131884458640178,1.368821979352408,-0.011919417192715
2.74116757149521,2.9090841581042306,1.6091055949979347,0.0015893338633297
-0.6736530541979077,-0.047612619046618,1.825808076203245,-0.0008217438342145
-0.0035624137305087,0.7962674863736181,2.001185937078599,0.0223716840516332
0.1316022564845564,0.3156322977957612,2.1324026615568865,-3.113896708339947e-05
1.7192411334232538,0.7667894840399098,2.267258073541379,-0.0047425206676424
-0.0336063127050702,0.4202845226589881,2.3783127034138087,0.0097803735313573
-0.2973862743555728,-0.4083402006182073,2.4464974145503384,-0.0124411944740998
0.5041938546542372,0.2911947820348178,2.4873060578729795,-0.0079561642218414
-0.8332354456294628,0.2992310495064602,2.4793123323283983,0.0117381813195602
-0.8303333611152729,0.5135598047978788,2.41846145283868,-0.0046128788207383
0.8045016681452151,0.4053320124099832,2.344593261899821,-0.0098766489710124
-0.0237895071364499,-0.2511009407371246,2.2614815376239665,0.0207519337974264
-1.1078779973000046,-0.4824749517718202,2.14945652752155,-0.0187112209161115
1.4894652219464752,0.520689064672444,2.0541943436538044,-0.0180909735101147
-1.4862859904576755,1.6515415506006197,1.938060946460417,0.0111308291398268
-1.3488157434613686,1.7045638190331136,1.7851287210511664,0.0059226180882787
0.6951412983047404,0.8048632841353639,1.6297590234925288,-0.0098278143208322
